SongName,ArtistName,Popularity,Danceability,Energy,Key,Loudness,Liveness,Valence,Tempo,Duration_ms
NIGHTRIDER,The Chainsmokers,87,0.592,0.457,9,-6.081,0.146,0.225,146.04,110886
Poison,Ellie Goulding,87,0.592,0.457,9,-6.081,0.146,0.225,146.04,110886
Shut The World Out,Olivia Rodrigo,87,0.592,0.457,9,-6.081,0.146,0.225,146.04,110886
SHUM,Olivia Rodrigo,75,0.682,0.598,8,-5.694,0.299,0.823,103.791,112500
Want You Back,Ludovico Einaudi,72,0.868,0.479,4,-6.687,0.102,0.776,133.928,115200
Girls Like You,Amy Winehouse,69,0.552,0.333,0,-7.836,0.557,0.274,139.657,119371
Want It Kept,Taylor Swift,78,0.899,0.691,0,-7.554,0.135,0.865,107.951,125302
Close Your Eyes,Carlos Rafael Rivera,36,0.0911,0.0231,10,-30.689,0.12,0.0377,77.681,125923
Bleeding Love,Empire of the Sun,52,0.0916,0.0271,0,-27.397,0.0892,0.0594,55.222,127615
Grenade,Ed Sheeran,52,0.0916,0.0271,0,-27.397,0.0892,0.0594,55.269,127615
Wants and Needs,Ludovico Einaudi,52,0.0916,0.0271,0,-27.397,0.0892,0.0594,55.269,127615
Love Me Like You Do,Carlos Rafael Rivera,39,0.0858,0.169,11,-13.742,0.137,0.0373,177.204,127663
Jolene!,Big Sean,78,0.828,0.434,5,-10.609,0.0806,0.38,115.071,131600
Titans,Pop Smoke,78,0.828,0.434,5,-10.609,0.0806,0.38,115.071,131600
Apricots,Christina Perri,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Blastoff,Empire of the Sun,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Goddamn,Billie Eilish,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Heat Waves,Juice WRLD,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
i hate u i love u,Maroon 5,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
In the End,Carlos Rafael Rivera,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Photograph,The Local Train,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Ridiculous Thoughts,Juice WRLD,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Shayad,William Black,40,0.523,0.108,0,-21.457,0.0987,0.139,112.001,131637
Strong,Pop Smoke,66,0.545,0.975,10,-3.193,0.145,0.609,123.906,131674
Memories,Ryan Mack,76,0.706,0.824,0,-7.959,0.111,0.86,94.98,132000
Moon Rider,Calvin Harris,76,0.706,0.824,0,-7.959,0.111,0.86,94.98,132000
Take Me Higher,The Chainsmokers,76,0.706,0.824,0,-7.959,0.111,0.86,94.98,132000
Iris,Carlos Rafael Rivera,37,0.449,0.136,4,-24.787,0.098,0.44,107.618,135528
Overdrive,Romy,80,0.772,0.878,2,-4.22,0.251,0.305,61.311,135747
Spicy,The Local Train,80,0.772,0.878,2,-4.22,0.251,0.305,61.311,135747
They Ain't You,Pop Smoke,80,0.772,0.878,2,-4.22,0.251,0.305,61.311,135747
Tightrope,Pop Smoke,80,0.772,0.878,2,-4.22,0.251,0.305,61.311,135747
The Way You Felt,Armaan Malik,56,0.701,0.789,6,-5.399,0.222,0.375,109.99,136364
Dandelions,blackbear,43,0.234,0.288,0,-13.412,0.118,0.118,60.347,137454
Love Tonight,Carlos Rafael Rivera,91,0.593,0.503,8,-6.725,0.405,0.71,178.781,137704
POPSTAR,Carlos Rafael Rivera,91,0.593,0.503,8,-6.725,0.405,0.71,178.781,137704
Stay A Little Longer,The Local Train,91,0.593,0.503,8,-6.725,0.405,0.71,178.781,137704
Real Friends,The Chainsmokers,61,0.625,0.726,1,-2.144,0.273,0.559,119.994,138800
Real Love,Taylor Swift,80,0.766,0.817,7,-4.253,0.159,0.43,125.033,138819
Send Me An Angel,Klaas,80,0.766,0.817,7,-4.253,0.159,0.43,125.033,138819
Close To Me,Carlos Rafael Rivera,79,0.669,0.629,1,-6.032,0.346,0.683,125.935,139729
Into Your Arms,Carlos Rafael Rivera,79,0.669,0.629,1,-6.032,0.346,0.683,125.935,139729
Love Yourself,Selena Gomez,79,0.669,0.629,1,-6.032,0.346,0.683,125.935,139729
Our Song,Romy,79,0.669,0.629,1,-6.032,0.346,0.683,125.935,139729
Not Afraid,Macklemore & Ryan Lewis,75,0.483,0.192,4,-15.378,0.106,0.0542,100.848,140733
Another Life,Ariana Grande,97,0.591,0.764,1,-5.484,0.103,0.478,169.928,141806
High Right Now,Juice WRLD,97,0.591,0.764,1,-5.484,0.103,0.478,169.928,141806
Lost In Japan,Gryffin,97,0.591,0.764,1,-5.484,0.103,0.478,169.928,141806
Superman,blackbear,97,0.591,0.764,1,-5.484,0.103,0.478,169.928,141806
Alive,The Cranberries,98,0.591,0.764,1,-5.484,0.103,0.478,169.928,141806
Chosen,Carlos Rafael Rivera,39,0.492,0.28,8,-19.965,0.0752,0.203,119.99,141945
Closer,Joshua Burnside,93,0.737,0.846,1,-4.51,0.0486,0.546,87.981,143901
Party Girl,Charlie Puth,51,0.416,0.096,2,-23.069,0.123,0.204,94.685,144253
Hold It Against Me,WILDES,57,0.458,0.475,5,-12.581,0.125,0.132,126.055,144762
Surrender,Ali Gatie,10,0.768,0.652,1,-2.708,0.107,0.777,154.187,144935
Hello,Juice WRLD,76,0.663,0.849,11,-4.462,0.192,0.722,123.992,146880
Light of the Seven,Stateless,35,0.291,0.143,9,-26.497,0.112,0.0379,115.001,147228
Party Rock Anthem,Charlie Puth,69,0.739,0.845,5,-5.93,0.775,0.839,121.997,147541
All Time Low,42 Dugg,76,0.728,0.431,6,-9.966,0.0996,0.629,130.022,147800
Even When,Conan Gray,76,0.728,0.431,6,-9.966,0.0996,0.629,130.022,147800
All Night,Sam Feldt,80,0.631,0.239,11,-7.071,0.116,0.0927,79.859,149297
Back To Black,Christina Perri,80,0.631,0.239,11,-7.071,0.116,0.0927,79.859,149297
Shade of Yellow,Klaas,80,0.631,0.239,11,-7.071,0.116,0.0927,79.859,149297
Shape of You,Klaas,80,0.631,0.239,11,-7.071,0.116,0.0927,79.859,149297
Soldier,glaive,80,0.631,0.239,11,-7.071,0.116,0.0927,79.859,149297
In the Rain,Carlos Rafael Rivera,45,0.764,0.54,9,-7.098,0.447,0.719,130.035,150559
River Flows In You,Juice WRLD,45,0.764,0.54,9,-7.098,0.447,0.719,130.035,150559
Tere Sang Yaara,Kanye West,74,0.617,0.684,0,-3.618,0.104,0.295,132.113,150867
Purple Lamborghini,The Chainsmokers,59,0.751,0.857,1,-4.385,0.0801,0.501,104.984,151999
LET IT GO,Lee DeWyze,68,0.682,0.363,2,-10.837,0.363,0.203,94.978,154275
Woman,Jonas Blue,66,0.702,0.709,0,-6.138,0.225,0.635,118.189,154576
Tory lanez freestyle,Zodiac Wave,87,0.721,0.738,7,-4.77,0.118,0.637,119.976,154983
Take My Breath,The Chainsmokers,59,0.62,0.611,9,-4.997,0.34,0.44,172.142,155147
Boyfriend,Nelly Furtado,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
Diamonds,blackbear,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
I Get You,Marshmello,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
No Promises,Roy Jones Jr.,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
Selfish Love,Eminem,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
The Imitation Game,One Direction,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
Tommy Lee,Pop Smoke,77,0.405,0.646,4,-3.206,0.103,0.17,130.218,156267
Rare,Jaden Thompson,0,0.665,0.707,11,-5.144,0.219,0.391,144.952,156331
Baarishein,Christina Perri,56,0.675,0.562,9,-5.99,0.103,0.655,79.916,156963
Radioactive,The Chainsmokers,56,0.675,0.562,9,-5.99,0.103,0.655,79.916,156963
Love Will Remember,Carlos Rafael Rivera,75,0.802,0.645,5,-6.181,0.119,0.376,100.001,157202
Sky,Pop Smoke,87,0.76,0.479,2,-5.574,0.0703,0.913,89.911,158040
telepatía,Dua Lipa,87,0.76,0.479,2,-5.574,0.0703,0.913,89.911,158040
I Need Some Sleep,Zedd,81,0.53,0.593,5,-7.286,0.314,0.538,125.723,158537
I Want It That Way,Kelly Clarkson,81,0.53,0.593,5,-7.286,0.314,0.538,125.723,158537
Speechless,Ankur Tewari,81,0.53,0.593,5,-7.286,0.314,0.538,125.723,158537
You & I,Pitbull,81,0.53,0.593,5,-7.286,0.314,0.538,125.723,158537
Talk,joan,74,0.759,0.605,7,-7.737,0.694,0.64,121.049,158900
Talking to the Moon,joan,74,0.759,0.605,7,-7.737,0.694,0.64,121.049,158900
When We Were Young,Trevor Daniel,84,0.785,0.431,10,-8.756,0.0887,0.236,127.085,159382
Welcome to Wonderland,Eminem,86,0.662,0.413,0,-7.357,0.134,0.467,93.005,161385
Bad boy,Christina Perri,68,0.667,0.827,11,-5.631,0.0565,0.573,107.95,161944
More Than You Know,Calvin Harris,74,0.572,0.759,2,-4.312,0.224,0.519,80.95,163733
She,Sleepy Hallow,74,0.572,0.759,2,-4.312,0.224,0.519,80.95,163733
Way down We Go,Ludovico Einaudi,74,0.572,0.759,2,-4.312,0.224,0.519,80.95,163733
Returning To Methuen,Prateek Kuhad,62,0.52,0.901,0,-5.448,0.175,0.509,199.84,163866
This Feeling,Pop Smoke,88,0.759,0.459,8,-5.187,0.0906,0.695,109.997,164442
Glad You Came,SLANDER,0,0.722,0.588,6,-5.932,0.183,0.59,134.01,165507
Believe What I Say,Picture This,51,0.711,0.721,11,-7.243,0.112,0.68,82.5,165859
Monster,Jonas Blue,84,0.789,0.536,6,-6.862,0.129,0.437,81.039,165926
Summer Thing,Enrique Iglesias,86,0.74,0.613,8,-4.88,0.123,0.473,75.023,166606
Cloudy Day,jxdn,54,0.649,0.758,10,-5.647,0.36,0.737,120.001,167811
Home,WILDES,54,0.649,0.758,10,-5.647,0.36,0.737,120.001,167811
Stay,The Local Train,54,0.649,0.758,10,-5.647,0.36,0.737,120.001,167811
Rescue Me,KC Lights,83,0.67,0.905,1,-6.855,0.349,0.563,104.965,167864
Half Light,Ed Sheeran,77,0.39,0.83,11,-5.201,0.156,0.191,90.021,168030
Startender,The Local Train,77,0.39,0.83,11,-5.201,0.156,0.191,90.021,168030
All I Want,Logic,72,0.834,0.678,6,-6.242,0.103,0.551,121.995,168601
Can We Kiss Forever?,Alan Walker,70,0.723,0.646,5,-7.973,0.0994,0.443,110.971,168649
Still Wiz,Pop Smoke,70,0.723,0.646,5,-7.973,0.0994,0.443,110.971,168649
Life Is Good,Stateless,88,0.667,0.373,4,-9.389,0.0906,0.0823,124.148,169266
Phantoms and Friends,Clinton Kane,88,0.667,0.373,4,-9.389,0.0906,0.0823,124.148,169266
Try,vaultboy,42,0.546,0.848,11,-2.577,0.252,0.873,165.964,169814
I Love You.,Zedd,64,0.645,0.803,6,-4.819,0.13,0.471,106.03,169887
SugarCrash!,Tyga,0,0.658,0.634,1,-5.797,0.132,0.29,139.98,170813
What If I Told You That I Love You,Eminem,0,0.658,0.634,1,-5.797,0.132,0.29,139.98,170813
What You Know Bout Love,Eminem,0,0.658,0.634,1,-5.797,0.132,0.29,139.98,170813
Animals,Ariana Grande,0,0.53,0.23,10,-11.254,0.1,0.377,75.759,171728
Centuries,Alan Walker,79,0.766,0.706,7,-6.553,0.064,0.766,142.989,172598
Daddy Issues,Tom Odell,79,0.766,0.706,7,-6.553,0.064,0.766,142.989,172598
Roses,Juice WRLD,79,0.766,0.706,7,-6.553,0.064,0.766,142.989,172598
Break My Heart Myself,Martin Jensen,72,0.527,0.736,4,-5.341,0.105,0.503,117.657,172675
Am I Good Enough Now?,Ariana Grande,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
Baila Conmigo,ZAYN,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
Mine,MAX,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
Night Changes,The Chainsmokers,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
No Lie,Kina,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
Ophelia,Fall Out Boy,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
Switch It Up,Camila Cabello,80,0.63,0.633,4,-7.088,0.0541,0.452,93.995,172762
Asal Mein,Christina Perri,80,0.827,0.731,4,-5.524,0.418,0.607,118.992,172833
I Would Like,Lewis Capaldi,85,0.516,0.467,0,-6.184,0.0853,0.386,132.861,173307
SOS,LOLO,89,0.75,0.608,1,-4.008,0.178,0.958,132.507,173347
Break My Heart,Martin Jensen,62,0.78,0.684,0,-5.758,0.105,0.732,149.916,173467
Woman Like Me,FLETCHER,62,0.78,0.684,0,-5.758,0.105,0.732,149.916,173467
Pieces,The Local Train,52,0.9,0.649,2,-6.365,0.0873,0.658,93.99,173640
Just the Way You Are,Kevin Gates,78,0.56,0.68,6,-7.648,0.116,0.319,89.391,173800
Only You,Fall Out Boy,41,0.691,0.786,1,-6.11,0.181,0.31,115.068,173841
Bol Do Na Zara,Empire of the Sun,67,0.788,0.605,1,-5.586,0.318,0.427,103.94,173973
Habits of My Heart,Ed Sheeran,67,0.788,0.605,1,-5.586,0.318,0.427,103.94,173973
New Rules,The Chainsmokers,67,0.788,0.605,1,-5.586,0.318,0.427,103.94,173973
u love u,Ava Max,67,0.788,0.605,1,-5.586,0.318,0.427,103.94,173973
Whiskey Whiskey,Trevor Daniel,67,0.788,0.605,1,-5.586,0.318,0.427,103.94,173973
Love & Hate,Gryffin,90,0.548,0.816,0,-4.209,0.335,0.557,95.39,174000
Push & Pull,The Chainsmokers,90,0.548,0.816,0,-4.209,0.335,0.557,95.39,174000
Liggi,Stateless,51,0.303,0.934,1,-4.12,0.0993,0.522,180.07,174240
Hate The Way,The Local Train,70,0.437,0.372,5,-9,0.107,0.439,141.786,174380
I Like Me Better,Zedd,70,0.59,0.642,7,-3.87,0.105,0.651,107.356,174444
I Won,Young Money,66,0.181,0.913,5,-3.318,0.282,0.392,82.176,174893
Heart By Heart,Juice WRLD,52,0.568,0.82,10,-4.437,0.0776,0.641,170.002,175059
Stranger,Pop Smoke,50,0.671,0.514,6,-5.763,0.111,0.331,113.53,175132
In the Name of Love,Carlos Rafael Rivera,64,0.736,0.308,11,-11.543,0.179,0.439,132.767,175135
ME!,Art Garfunkel,64,0.736,0.308,11,-11.543,0.179,0.439,132.767,175135
Anxiety,JD McPherson,55,0.707,0.725,1,-5.981,0.0525,0.761,86.032,176466
Heart Attack,Juice WRLD,74,0.723,0.809,7,-3.081,0.565,0.274,98.007,176561
Disrespectful,Duncan Laurence,61,0.567,0.771,10,-4.532,0.353,0.59,178.065,176747
Summer Air,Tyga,63,0.713,0.8,7,-5.938,0.0921,0.814,139.942,177200
Bright Eyes,Secondcity,64,0.639,0.404,4,-7.68,0.343,0.045,138.054,177440
The One I Love,Yellow Claw,62,0.799,0.791,2,-5.173,0.104,0.651,119.993,177476
Solar Power,Yves V,84,0.505,0.71,3,-3.015,0.269,0.428,89.938,177507
Who Do You Love,Trevor Daniel,54,0.559,0.452,0,-6.549,0.376,0.197,80.038,177693
Motley Crew,Calvin Harris,77,0.727,0.832,9,-4.327,0.0615,0.213,127.035,177856
Each Coming Night,Conan Gray,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
Hide,Juice WRLD,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
How Do You Sleep?,Marshmello,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
Jealous,Louis The Child,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
She Gets the Flowers,Olivia Rodrigo,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
The Music,Yellow Claw,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
Thodu Vaanam,Pop Smoke,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
Umbrella,Ava Max,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
Whole Life,The Chainsmokers,95,0.563,0.664,9,-5.044,0.0849,0.688,166.928,178147
willow,The Chainsmokers,45,0.88,0.571,9,-8.753,0.107,0.106,120.93,178536
Everybody Wants You,Conan Gray,86,0.778,0.317,1,-10.732,0.0881,0.327,140.048,178627
Why Did I Answer?,The Chainsmokers,86,0.778,0.317,1,-10.732,0.0881,0.327,140.048,178627
Because of You,The Local Train,79,0.652,0.383,2,-7.076,0.0828,0.549,145.765,178994
HALF HEARTED,Ed Sheeran,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Just A Mess,Big Sean,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
One Moment in Time,Fall Out Boy,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Pretty Please,The Chainsmokers,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Reasons,Tones And I,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Unconditionally,Trippie Redd,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Underwater,Taylor Swift,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Youngblood,Selena Gomez,78,0.67,0.668,3,-4.306,0.133,0.608,88.033,179053
Way Out,Ludovico Einaudi,58,0.699,0.645,9,-5.307,0.355,0.676,104.939,179340
Hurricane,Marshmello,75,0.931,0.387,1,-9.127,0.136,0.376,125.978,179405
Overwhelmed,Sia,75,0.931,0.387,1,-9.127,0.136,0.376,125.978,179405
Let You Down,Internet Money,66,0.68,0.766,11,-4.799,0.116,0.28,160.095,180000
The Gentle Rain,One Direction,69,0.773,0.699,1,-5.982,0.0814,0.513,104.941,180120
You And Me,Kelli-Leigh,69,0.773,0.699,1,-5.982,0.0814,0.513,104.941,180120
Echo,Conan Gray,69,0.898,0.759,7,-4.942,0.104,0.24,127.966,180152
Train Wreck,Olivia Rodrigo,69,0.898,0.759,7,-4.942,0.104,0.24,127.966,180152
All Good Things,blackbear,78,0.782,0.685,4,-6.237,0.16,0.603,118.016,180566
Bloom,Empire of the Sun,78,0.782,0.685,4,-6.237,0.16,0.603,118.016,180566
What A Time,Eminem,78,0.782,0.685,4,-6.237,0.16,0.603,118.016,180566
Hate Me,The Local Train,82,0.52,0.761,4,-3.093,0.17,0.286,141.971,180823
Legends,Jay Gwuapo,82,0.52,0.761,4,-3.093,0.17,0.286,141.971,180823
Sixteen,Olivia Rodrigo,82,0.52,0.761,4,-3.093,0.17,0.286,141.971,180823
Malang,Bebe Rexha,82,0.842,0.734,1,-5.065,0.106,0.952,137.958,181027
Through The Storm,Pop Smoke,53,0.621,0.898,10,-4.569,0.404,0.332,124.018,181040
Your Power,Taylor Swift,53,0.621,0.898,10,-4.569,0.404,0.332,124.018,181040
Lost,Gryffin,74,0.681,0.798,2,-4.367,0.0542,0.516,105.99,181120
Need To Know,Calvin Harris,64,0.497,0.13,6,-15.571,0.111,0.179,130.769,181136
Sweet but Psycho,44phantom,64,0.74,0.592,1,-5.003,0.276,0.379,140.093,181714
In My Blood,Ed Sheeran,56,0.655,0.666,5,-5.309,0.0683,0.272,102.977,181812
All Eyes On Me,The Cranberries,63,0.548,0.341,0,-11.667,0.121,0.34,71.573,182417
Rumors,Yann Tiersen,62,0.572,0.75,1,-5.042,0.378,0.475,144.081,182627
Space Melody,LOLO,0,0.732,0.746,11,-6.367,0.109,0.407,155.096,182707
Reckless,Tones And I,61,0.633,0.564,8,-7.789,0.201,0.648,164.008,182933
Symphony,The Chainsmokers,61,0.633,0.564,8,-7.789,0.201,0.648,164.008,182933
Someone To Stay,Rihanna,0,0.568,0.788,5,-6.28,0.141,0.46,104.959,183070
Brush Fire,The Vamps,84,0.793,0.793,11,-4.521,0.0951,0.679,123.95,183290
Humraah,Marshmello,84,0.793,0.793,11,-4.521,0.0951,0.679,123.95,183290
RAP DEVIL,The Chainsmokers,84,0.45,0.329,9,-12.603,0.135,0.266,71.884,183624
The Scientist,Maroon 5,84,0.45,0.329,9,-12.603,0.135,0.266,71.884,183624
Kaisey Jiyun,Kevin Gates,71,0.703,0.703,1,-4.672,0.12,0.697,76.017,183783
Chun-Li,Carlos Rafael Rivera,45,0.352,0.0774,9,-24.864,0.118,0.138,108.077,184294
Heather,Juice WRLD,45,0.352,0.0774,9,-24.864,0.118,0.138,108.077,184294
Wolves,Jonas Blue,45,0.352,0.0774,9,-24.864,0.118,0.138,108.077,184294
Remember The Name,Tones And I,74,0.535,0.359,2,-9.343,0.111,0.488,154.163,184505
Teeth,Dua Lipa,73,0.675,0.608,3,-6.934,0.11,0.728,99.865,184800
Illuminate,Imagine Dragons,0,0.705,0.776,4,-6.096,0.0246,0.366,116.011,185304
Stupid Feelings,Pop Smoke,67,0.532,0.392,10,-7.502,0.122,0.352,151.879,185947
Bummerland,John Legend,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
Counting Stars,Tom Odell,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
Dip,Duncan Laurence,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
Lost Cause,Gryffin,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
Round & Round,PLVTINUM,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
STILL CHOSE YOU,Pop Smoke,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
The Lake,One Direction,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
Used To Be,Taylor Swift,81,0.504,0.788,3,-4.113,0.363,0.228,170.039,186022
Happier Than Ever,Selena Gomez,82,0.823,0.544,5,-7.132,0.0966,0.664,149.903,186088
Jeena Jeena,Post Malone,89,0.828,0.621,8,-6.414,0.0845,0.436,128.986,186173
Neighbor,The Chainsmokers,0,0.658,0.791,8,-4.66,0.139,0.744,75.017,186227
Sucker for Pain,Tyga,0,0.658,0.791,8,-4.66,0.139,0.744,75.017,186227
All the Smoke,David Guetta,53,0.6,0.788,1,-4.482,0.105,0.301,94.038,186702
Old Friends,Carlos Rafael Rivera,67,0.503,0.754,7,-3.634,0.297,0.597,116.524,186750
Gnat,Selena Gomez,83,0.697,0.683,1,-2.881,0.137,0.603,96.133,186987
Deep End Freestyle,blackbear,53,0.421,0.885,10,-6.009,0.255,0.584,151.883,187558
Heartbreak Anthem,Juice WRLD,80,0.522,0.128,4,-18.717,0.0941,0.124,109.986,187932
CHICKEN TENDIES,Wiz Khalifa,84,0.444,0.819,10,-4.078,0.107,0.747,82.695,187973
We Own It,Alan Walker,84,0.444,0.819,10,-4.078,0.107,0.747,82.695,187973
Buy U a Drank,Kurt Hugo Schneider,0,0.461,0.803,9,-3.518,0.225,0.237,136.18,188000
Here With Me,Juice WRLD,0,0.461,0.803,9,-3.518,0.225,0.237,136.18,188000
Mishri,GASHI,0,0.461,0.803,9,-3.518,0.225,0.237,136.18,188000
Playing Beltik,Blxst,0,0.461,0.803,9,-3.518,0.225,0.237,136.18,188000
Or Nah,Topic,77,0.683,0.615,5,-5.737,0.154,0.45,77.014,188893
On My Life,Carlos Rafael Rivera,36,0.427,0.172,3,-21.15,0.111,0.164,119.897,189019
Lie To Me,Stateless,66,0.544,0.704,4,-5.678,0.164,0.265,80.029,189062
Bad Habits,ZAYN,82,0.474,0.631,5,-5.884,0.132,0.425,180.051,189323
Beauty and the Beast,The Local Train,82,0.474,0.631,5,-5.884,0.132,0.425,180.051,189323
Heathens,Juice WRLD,82,0.474,0.631,5,-5.884,0.132,0.425,180.051,189323
Rewrite The Stars,Juice WRLD,82,0.474,0.631,5,-5.884,0.132,0.425,180.051,189323
Talk To Me,joan,82,0.474,0.631,5,-5.884,0.132,0.425,180.051,189323
Whistle,Trevor Daniel,82,0.474,0.631,5,-5.884,0.132,0.425,180.051,189323
Under Your Spell,Taylor Swift,55,0.579,0.402,2,-9.687,0.316,0.516,152.067,189628
Bandey,ZAYN,79,0.733,0.96,7,-3.597,0.287,0.811,124.01,189672
Choo Lo,Carlos Rafael Rivera,79,0.733,0.96,7,-3.597,0.287,0.811,124.01,189672
Smile,Yves V,82,0.905,0.647,10,-5.065,0.282,0.367,130.97,190534
Unsteady,Taylor Swift,82,0.905,0.647,10,-5.065,0.282,0.367,130.97,190534
Say Something,LANY,32,0.405,0.551,7,-16.123,0.0786,0.0381,161.965,190755
Runaway,Troye Sivan,0,0.69,0.809,2,-4.198,0.147,0.864,123.912,190800
Tera Ghata,Maroon 5,0,0.69,0.809,2,-4.198,0.147,0.864,123.912,190800
Whats Poppin,Eminem,0,0.69,0.809,2,-4.198,0.147,0.864,123.912,190800
Anyone,JP Saxe,83,0.759,0.54,9,-6.039,0.0945,0.75,116.947,190960
Arcade,Christina Perri,69,0.735,0.784,11,-7.128,0.105,0.582,120.012,191000
You,Pitbull,69,0.735,0.784,11,-7.128,0.105,0.582,120.012,191000
Run to You,Post Malone,92,0.65,0.825,0,-4.645,0.0936,0.593,118.091,191014
Power is Power,LP Giobbi,64,0.652,0.715,0,-5.919,0.156,0.617,97.981,191036
Telling Myself,Seven Lions,47,0.581,0.954,9,-3.336,0.223,0.616,127.959,191250
O.D.D.,Macklemore & Ryan Lewis,72,0.674,0.915,6,-3.999,0.273,0.78,126.038,191293
Dreams,Darshan Raval,76,0.615,0.774,4,-5.152,0.15,0.336,136.887,191364
Just For Me,Rahgir,76,0.615,0.774,4,-5.152,0.15,0.336,136.887,191364
Lonely,Stateless,76,0.615,0.774,4,-5.152,0.15,0.336,136.887,191364
